"city_id";"city";"latitude_city";"longitude_city";"avg_temp_c";"median_pop";"hotel_name";"hotel_description";"booking_score";"average_price";"latitude";"longitude"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"ibis budget Avignon Centre";"L'ibis budget Avignon Centre est situé à Avignon, à 30 minutes en voiture d'Orange et du Pont du Gard. Une connexion Wi-Fi est accessible gratuitement. Le Palais des Papes se trouve à 1,3 km.  Chaque chambre climatisée dispose d’une télévision par câble et satellite. La salle de bains privative est pourvue d’une baignoire ou d’une douche et d’articles de toilette gratuits. Les logements donnent sur la ville et le jardin.  L'ibis budget Avignon Centre possède une réception ouverte 24h/24, une ter";"8.0";"146";"43.94375631";"4.79815236"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"Mercure Avignon TGV Hotel & Spa";"Le Mercure Avignon TGV Hotel & Spa vous accueille à Avignon, à 600 mètres de la gare TGV ainsi qu’à moins de 10 minutes en voiture du centre-ville, de la gare centrale et du palais des Papes. Une connexion Wi-Fi est disponible gratuitement.  Les chambres comprennent une télévision par satellite ainsi qu’une salle de bains pourvue d’une grande douche. Des logements accessibles aux personnes à mobilité réduite sont également disponibles.  L’hôtel sert un petit-déjeuner buffet tous les matins, et v";"8.6";"289";"43.92929";"4.784118"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"Premiere Classe Avignon Courtine Gare TGV";"Situé à 1 km de la gare d'Avignon, le Premiere Classe Avignon Courtine Gare TGV - Courtine Gare se trouve à 6 km du centre-ville. Il propose des chambres contemporaines dotées d'une salle de bains privative et d'une télévision par satellite à écran LCD.  Le Premiere Classe Avignon Courtine Gare TGV - Courtine Gare sert un petit-déjeuner buffet dans la salle colorée prévue à cet effet. Une connexion Wi-Fi et un parking privé sont aussi disponibles gratuitement.  L'hôtel est situé à 20 minutes de ";"5.8";"87";"43.93020671";"4.79032874"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"hotelF1 Avignon Centre Courtine gare TGV";"L'hotelF1 Avignon Centre Courtine gare TGV se trouve à Avignon, à 2,9 km du palais des Papes et à 3 km du pont d'Avignon.  Chaque chambre comprend une télévision à écran plat et donne accès à une salle de bains commune. Vous pourrez acheter des serviettes en microfibre sur place, moyennant 3 EUR pièce.  Vous séjournerez à 800 mètres du Parc d'activités d'Avignon Courtine et à 1,5 km de l'École Supérieure d'Art ESAA. Enfin, l'aéroport d'Avignon-Provence, le plus proche, se trouve à 9 km de l'hote";"7.2";"83";"43.929032";"4.788189"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"Auberge de jeunesse HI Avignon";"L’établissement Auberge de jeunesse HI Avignon bénéficie d’un emplacement stratégique dans le centre de Avignon. Il met à votre disposition une terrasse, un bar et une connexion Wi-Fi gratuite. Il est installé à proximité de plusieurs attractions connues, notamment à respectivement 300 mètres, 300 mètres et 400 mètres de : Eglise Saint-Agricol, Historical Centre of Avignon et Chapelle Saint-Charles. Vous profiterez d'un service d'étage et d'un service de bagagerie.  Un petit-déjeuner continental";"8.0";"197";"43.9476227";"4.8059782"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"Novotel Avignon Centre";"Located next to Avignon Train Station, Novotel Avignon Centre offers an outdoor pool and a beauty salon. It also features a fitness centre and a spa with a sauna, a hot tub and hammam. Free WiFi is available throughout.  Decorated in a contemporary style, the air-conditioned rooms at Novotel Avignon offer a flat-screen TV and a minibar. The private bathroom has a bath or a shower.  Breakfast is served every morning in guest rooms or in the hotel’s breakfast room leading onto the patio. Guests ca";"8.2";"430";"43.9427354";"4.80243623"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"Mercure Pont d’Avignon Centre";"Featuring free WiFi throughout the property, Mercure Pont d’Avignon Centre is located in the historic centre of Avignon, just 100 metres from the Pont d'Avignon and 150 metres  from Papal Palace. Guests can enjoy the on-site bar with the outdoor shaded terrace.  The restaurant offers Mediterranean cuisine with local and seasonal products. Breakfast is served each morning in a designated breakfast room under a glass roof.  Every room comes with air conditioning, a safe, a desk and a flat-screen T";"8.1";"326";"43.95284082";"4.80593383"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"Golden Tulip Avignon Le Paradou";"L’établissement Golden Tulip Avignon Le Paradou est situé dans un parc paisible à Avignon Sud - Montfavet, à seulement 15 minutes en voiture du centre historique d'Avignon.  Vous bénéficierez d'une connexion Wi-Fi haut débit gratuite dans tout l'établissement, ainsi que d'un parking privé gratuit sur place. L'aéroport de Caumont est situé juste à côté de l'hôtel, offrant un accès pratique pour les voyageurs.  Les chambres insonorisées et climatisées donnent sur la piscine ou le jardin. Chaque ch";"8.3";"199";"43.9048925";"4.89553034"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"Camping du Pont d'Avignon";"L’établissement Camping du Pont d'Avignon est situé à 1,9 km de ce lieu d’intérêt : Palais des Papes d'Avignon. Il comprend un restaurant, une piscine extérieure ouverte en saison, un salon commun et une terrasse.  Chaque hébergement possède une kitchenette équipée d’un réfrigérateur, un salon avec un canapé-lit et une télévision, ainsi qu’une salle de bains privative. Tous les logements sont dotés de la climatisation, ainsi que d’un coin salon et/ou repas.  Vous séjournerez à respectivement 3,3";"8.1";"173";"43.95638753";"4.80199099"
"86f1a48c-594e-4fc3-8009-dfe86079cb22";"Avignon";"43.9492493";"4.8059012";"33.18";"0.0";"Hotel Cristol";"Doté d'une terrasse entourée d'un grand jardin, l'Hotel Cristol bénéficie d'un emplacement idéal à l'entrée d'Avignon, à respectivement 15 et 20 minutes de route du célèbre pont d'Avignon et du palais des Papes.  Les chambres sont climatisées et disposent d'une télévision par câble, d'un téléphone ainsi que d'une connexion Wi-Fi gratuite. Leur salle de bains privative est pourvue d'une baignoire.  Un petit-déjeuner buffet à volonté est servi tous les matins moyennant des frais supplémentaires. V";"7.2";"135";"43.92633935";"4.85013127"
